fips,ProbNextOcc
6003,2.98E-06
6005,2.98E-06
6007,2.64E-05
6009,2.98E-06
6011,2.02E-06
6013,0.003870391
6015,2.98E-06
6017,6.25E-05
6019,0.000781801
6021,2.02E-06
6023,7.12E-06
6025,6.45E-05
6027,2.50E-06
6029,0.000121843
6031,2.50E-06
6033,2.98E-06
6035,1.50E-05
6037,0.011646923
6039,2.02E-06
6041,0.001488092
6043,2.02E-06
6045,2.98E-06
6047,2.02E-06
6049,2.02E-06
6051,1.92E-05
6053,0.000109432
6055,2.50E-05
6057,5.42E-05
6059,0.00683895
6061,0.000164721
6063,2.98E-06
6065,0.003425409
6067,0.004357356
6069,2.02E-06
6071,0.005851897
6073,0.007944569
6075,0.006285039
6077,0.000116951
6079,9.47E-05
6081,0.004801389
6083,0.000320948
6085,0.006124459
6087,0.000193936
6089,6.16E-06
6091,5.01E-05
6093,2.02E-06
6095,9.94E-05
6097,0.000490349
6099,5.17E-05
6101,2.02E-06
6103,2.02E-06
6105,2.98E-06
6107,8.00E-05
6109,2.98E-06
6111,0.002373198
6113,0.000128008
6115,3.18E-06
8001,0.000107745
8003,2.02E-06
8005,0.004060995
8007,2.02E-06
8009,2.02E-06
8011,1.50E-05
8013,0.001458405
8014,9.71E-06
8015,2.02E-06
8017,2.02E-06
8019,4.01E-05
8021,2.02E-06
8023,2.02E-06
8025,1.50E-05
8027,2.02E-06
8029,2.02E-06
8031,0.003607165
8033,2.02E-06
8035,0.000806917
8037,4.16E-05
8039,2.12E-06
8041,0.002659946
8043,1.50E-05
8045,2.02E-06
8047,5.49E-05
8049,5.89E-05
8051,1.93E-05
8053,2.93E-06
8055,2.02E-06
8057,3.31E-06
8059,0.002490102
8061,2.02E-06
8063,2.02E-06
8065,1.92E-05
8067,2.02E-06
8069,0.000931723
8071,2.02E-06
8073,1.50E-05
8075,2.02E-06
8077,6.16E-06
8079,3.27E-06
8081,2.02E-06
8083,2.02E-06
8085,2.02E-06
8087,2.02E-06
8089,2.02E-06
8091,5.46E-06
8093,2.14E-06
8095,2.02E-06
8097,4.39E-05
